"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"145","LITEmix 1400 (SK) + Additives","1","0","","2018/9/28 18:10:54.0300000","1","2017/9/28 18:10:54.0300000","9999/12/31 23:59:59.9970000"
"146","LITEmix EC + Additives","1","0","","2018/9/28 18:10:54.0500000","1","2017/9/28 18:10:54.0470000","9999/12/31 23:59:59.9970000"
"147","PRODUCTIONmix 1500 PRO + Additives","1","0","","2018/9/28 18:10:54.0630000","1","2017/9/28 18:10:54.0630000","9999/12/31 23:59:59.9970000"
"148","PRODUCTIONmix 1600 + Additives","1","0","","2018/9/28 18:10:54.0800000","1","2017/9/28 18:10:54.0770000","9999/12/31 23:59:59.9970000"
"149","PRODUCTIONmix 1600 (SK) + Additives","1","0","","2018/9/28 18:10:54.0930000","1","2017/9/28 18:10:54.0930000","9999/12/31 23:59:59.9970000"
"150","PRODUCTIONmix 1725 + Additives","1","0","","2018/9/28 18:10:54.1100000","1","2017/9/28 18:10:54.1100000","9999/12/31 23:59:59.9970000"
"151","PRODUCTIONmix EC + Additives","1","0","","2018/9/28 18:10:54.1270000","1","2017/9/28 18:10:54.1270000","9999/12/31 23:59:59.9970000"
"152","PRODUCTIONmix EC (Sask) + Additives","1","0","","2018/9/28 18:10:54.1400000","1","2017/9/28 18:10:54.1400000","9999/12/31 23:59:59.9970000"
"153","PRODUCTIONmix LW + Additives","1","0","","2018/9/28 18:10:54.1570000","1","2017/9/28 18:10:54.1570000","9999/12/31 23:59:59.9970000"
"154","PRODUCTIONmix LW (Sask) + Additives","1","0","","2018/9/28 18:10:54.1730000","1","2017/9/28 18:10:54.1700000","9999/12/31 23:59:59.9970000"
"155","PRODUCTIONmix THX + Additives","1","0","","2018/9/28 18:10:54.1870000","1","2017/9/28 18:10:54.1870000","9999/12/31 23:59:59.9970000"
"156","Proteus Core + Additives","1","0","","2018/9/28 18:10:54.2030000","1","2017/9/28 18:10:54.2030000","9999/12/31 23:59:59.9970000"
"157","Proteus LCS + Additives","1","0","","2018/9/28 18:10:54.2200000","1","2017/9/28 18:10:54.2200000","9999/12/31 23:59:59.9970000"
"158","Proteus Pro + Additives","1","0","","2018/9/28 18:10:54.2530000","1","2017/9/28 18:10:54.2530000","9999/12/31 23:59:59.9970000"
"159","RAS II + Additives","1","0","","2018/9/28 18:10:54.2670000","1","2017/9/28 18:10:54.2670000","9999/12/31 23:59:59.9970000"
"160","SanSeal + Additives","1","0","","2018/9/28 18:10:54.2800000","1","2017/9/28 18:10:54.2800000","9999/12/31 23:59:59.9970000"
"161","SanSeal HT + Additives","1","0","","2018/9/28 18:10:54.2970000","1","2017/9/28 18:10:54.2970000","9999/12/31 23:59:59.9970000"
"162","SSi + Additives","1","0","","2018/9/28 18:10:54.3100000","1","2017/9/28 18:10:54.3100000","9999/12/31 23:59:59.9970000"
"163","Superlite 13 + Additives","1","0","","2018/9/28 18:10:54.3270000","1","2017/9/28 18:10:54.3270000","9999/12/31 23:59:59.9970000"
"164","Superlite 13 (CDM-5) + Additives","1","0","","2018/9/28 18:10:54.3400000","1","2017/9/28 18:10:54.3400000","9999/12/31 23:59:59.9970000"
