"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"271","THERMAmix PRO + Additives","","275","THERMAmix PRO  + Additives","193","THERMAmix PRO + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0900000","1","2017/9/28 18:10:47.0900000","9999/12/31 23:59:59.9970000","",""
"272","MCR-9L","","276","MCR-9L","","","0","","","1","253","MCR-9L","1.067","","","","0","","","1","0","","2018/9/28 18:10:47.1030000","1","2017/9/28 18:10:47.1030000","9999/12/31 23:59:59.9970000","",""
"273","ECOmix","","277","ECOmix","","","0","","","1","","","1","","","","0","","","1","0","","2018/9/28 18:10:47.1100000","1","2017/9/28 18:10:47.1100000","9999/12/31 23:59:59.9970000","",""
"274","SURFACEmix LW PRO SL (SK)","","278","SURFACEmix LW PRO SL (SK)","194","SURFACEmix LW PRO SL (SK)","1","269","SURFACEmix LW PRO SL (SK)","0","","","2.895","","1.19","1550","1","","3","1","0","","2018/9/28 18:10:47.1270000","1","2017/9/28 18:10:47.1270000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"275","SURFACEmix LW PRO SL (SK) + Additives","","279","SURFACEmix LW PRO SL (SK) + Additives","195","SURFACEmix LW PRO SL (SK) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.1400000","1","2017/9/28 18:10:47.1400000","9999/12/31 23:59:59.9970000","",""
"276","THERMAmix THX","","280","THERMAmix THX","196","THERMAmix THX","1","257","THERMAmix THX","0","","","2.895","","0.779","1840","1","","3","1","0","","2018/9/28 18:10:47.1670000","1","2017/9/28 18:10:47.1670000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"277","THERMAmix THX + Additives","","281","THERMAmix THX + Additives","197","THERMAmix THX + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.1800000","1","2017/9/28 18:10:47.1800000","9999/12/31 23:59:59.9970000","",""
"278","SURFACEmix THX","","282","SURFACEmix THX","198","SURFACEmix THX","1","270","SURFACEmix THX","0","","","3.14175871","","0.940285432","1725","0","","31","1","0","","2018/9/28 18:10:47.1900000","1","2017/9/28 18:10:47.1900000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"279","SURFACEmix THX + Additives","","283","SURFACEmix THX + Additives","199","SURFACEmix THX + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.2000000","1","2017/9/28 18:10:47.2000000","9999/12/31 23:59:59.9970000","",""
"280","Silica Flour - 200 Mesh","","284","Silica Flour - 325 Mesh","","","0","","","1","212","Silica Flour - 325 Mesh","2.63","","","","0","","","1","0","","2018/9/28 18:10:42.5600000","1","2017/9/28 18:10:42.5600000","9999/12/31 23:59:59.9970000","",""
