"ID","NAME","DESCRIPTION","INVENTORY_NUMBER","PRICE_CODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"139","PRODUCTIONmix 1725","PRODUCTIONmix 1725","","116421","1","0","","2018/9/28 18:10:39.3170000","1","2017/9/28 18:10:39.3130000","9999/12/31 23:59:59.9970000"
"140","PRODUCTIONmix EC","PRODUCTIONmix EC","","116417","1","0","","2018/9/28 18:10:39.3230000","1","2017/9/28 18:10:39.3230000","9999/12/31 23:59:59.9970000"
"141","PRODUCTIONmix EC (Sask)","PRODUCTIONmix EC (Sask)","","116417","1","0","","2018/9/28 18:10:39.3300000","1","2017/9/28 18:10:39.3300000","9999/12/31 23:59:59.9970000"
"142","PRODUCTIONmix LW","PRODUCTIONmix LW","","116423","1","0","","2018/9/28 18:10:39.3370000","1","2017/9/28 18:10:39.3370000","9999/12/31 23:59:59.9970000"
"143","PRODUCTIONmix LW (Sask)","PRODUCTIONmix LW (Sask)","","116423","1","0","","2018/9/28 18:10:39.3470000","1","2017/9/28 18:10:39.3430000","9999/12/31 23:59:59.9970000"
"144","PRODUCTIONmix THX ","PRODUCTIONmix THX ","","116419","1","0","","2018/9/28 18:10:39.3530000","1","2017/9/28 18:10:39.3530000","9999/12/31 23:59:59.9970000"
"145","Proteus Core","Proteus Core","","113030","1","0","","2018/9/28 18:10:39.3600000","1","2017/9/28 18:10:39.3600000","9999/12/31 23:59:59.9970000"
"146","Proteus LCS","Proteus LCS","","113034","1","0","","2018/9/28 18:10:39.3700000","1","2017/9/28 18:10:39.3700000","9999/12/31 23:59:59.9970000"
"147","Proteus Pro","Proteus Pro","IIN023575","113032","1","0","","2018/9/28 18:10:39.3800000","1","2017/9/28 18:10:39.3770000","9999/12/31 23:59:59.9970000"
"148","RAS II","RAS II","","113074","1","0","","2018/9/28 18:10:39.3900000","1","2017/9/28 18:10:39.3870000","9999/12/31 23:59:59.9970000"
"150","SanSeal HT","SanSeal HT","","113119","1","0","","2018/9/28 18:10:39.4000000","1","2017/9/28 18:10:39.3970000","9999/12/31 23:59:59.9970000"
"151","SSi","SSi","","113009","1","0","","2018/9/28 18:10:39.4100000","1","2017/9/28 18:10:39.4070000","9999/12/31 23:59:59.9970000"
"152","Superlite 13","Superlite 13","","113083","1","0","","2018/9/28 18:10:39.4200000","1","2017/9/28 18:10:39.4170000","9999/12/31 23:59:59.9970000"
"153","Superlite 13 (CDM-5)","Superlite 13 (CDM-5)","","113083","1","0","","2018/9/28 18:10:39.4270000","1","2017/9/28 18:10:39.4270000","9999/12/31 23:59:59.9970000"
"154","SUPERLITEmix PRO HT ","SUPERLITEmix PRO HT ","","113107","1","0","","2018/9/28 18:10:39.4400000","1","2017/9/28 18:10:39.4370000","9999/12/31 23:59:59.9970000"
"155","SUPERLITEmix PRO ","SUPERLITEmix PRO ","","113087","1","0","","2018/9/28 18:10:39.4470000","1","2017/9/28 18:10:39.4470000","9999/12/31 23:59:59.9970000"
"156","SURFACEmix LW (SK) ","SURFACEmix LW (SK) ","","113404","1","0","","2018/9/28 18:10:39.4530000","1","2017/9/28 18:10:39.4530000","9999/12/31 23:59:59.9970000"
"157","SURFACEmix LW PRO ","SURFACEmix LW PRO ","","116016","1","0","","2018/9/28 18:10:39.4700000","1","2017/9/28 18:10:39.4670000","9999/12/31 23:59:59.9970000"
"158","SURFACEmix LW PRO (SK) ","SURFACEmix LW PRO (SK) ","","116016","1","0","","2018/9/28 18:10:39.4770000","1","2017/9/28 18:10:39.4770000","9999/12/31 23:59:59.9970000"
"159","SURFACEmix PRO","SURFACEmix PRO","","113403","1","0","","2018/9/28 18:10:39.4900000","1","2017/9/28 18:10:39.4870000","9999/12/31 23:59:59.9970000"
"160","SURFACEmix PRO SL","SURFACEmix PRO SL","","113436","1","0","","2018/9/28 18:10:39.4970000","1","2017/9/28 18:10:39.4930000","9999/12/31 23:59:59.9970000"
"161","SURFACEmix SLW","SURFACEmix SLW","","113406","1","0","","2018/9/28 18:10:39.5030000","1","2017/9/28 18:10:39.5030000","9999/12/31 23:59:59.9970000"
